0.png	\int _ { - \epsilon } ^ \infty d l \: { \rm e } ^ { - l \zeta } \int _ { - \epsilon } ^ \infty d l ' { \rm e } ^ { - l ' \zeta } l l ' { l ' - l \over l + l ' } \{ 3 \, \delta ' ' ( l ) - { 3 \over 4 } t \, \delta ( l ) \} = 0 .
32361.png	G : = ( Z _ { 2 k } \times D _ { k ' } ) / H , ~ ~ ~ { \rm w i t h } ~ ~ ~ H = \langle 1 , \alpha ^ k \beta ^ { k ' } \rangle
32374.png	y ^ { 2 } = \prod _ { k = 1 } ^ { n _ { c } } ( x - \phi _ { k } ) ^ { 2 } + 4 \Lambda ^ { 2 n _ { c } - n _ { f } } \prod _ { i = 1 } ^ { n _ { f } } ( x + m _ { i } )
32401.png	\begin {array} { c c c c c } & S O ( 2 n - 1 ) & \subset & S O ( 2 n ) & R _ M = { \bf 2 n } \\ & S p ( 2 n ) & \subset & S U ( 2 n ) & R _ M = { \bf n ( 2 n - 1 ) } \\ & G _ 2 & \subset & S O ( 7 ) & R _ M = { \bf 7 } { \rm \ o r \ } { \bf 8 } \\ & F _ 4 & \subset & E _ 6 & { \bf 2 7 } \end {array}
32405.png	L _ { \mu } \, = \, U \partial _ { \mu } U ^ { \dag } \Rightarrow D _ { \mu } U = 0 , \; \; D _ { \mu } \, \equiv \, \partial _ { \mu } + L _ { \mu } \; ,
32406.png	\left ( \frac { \partial T } { \partial t } \right ) _ { w , x ^ i } / \left ( \frac { \partial r } { \partial t } \right ) _ { w , x ^ i } = - \left ( \frac { \partial w } { \partial r } \right ) _ { T , x ^ i } / \left ( \frac { \partial w } { \partial T } \right ) _ { r , x ^ i } = \mp \frac { \sqrt { f ( r ) + \dot { a } ^ 2 } } { f ( r ) \dot { a } ( t ) } .
32466.png	\omega = ( a + b x ) \, \frac { d x } { y } , \qquad \beta = ( a + b x + c x ^ 2 ) \, \Big ( \frac { d x } { y } \Big ) ^ 2 .
32470.png	\Delta ^ \dag \left ( \begin {array} { c } 0 \\ 0 \\ | 0 , 0 \rangle \\ 0 \\ 0 \end {array} \right ) = 0
32540.png	\zeta \tau = \frac { \zeta _ { 0 } } { \tau _ { 0 } } \tau ,
32637.png	\left ( \begin {array} { c c } \varphi _ { \varphi \varphi } & \hskip - 2 \arraycolsep ( \stackrel { \rightharpoonup } { x _ 1 } , \stackrel { \rightharpoonup } { x _ 2 } ; t ) \\ \varphi _ { \varphi \pi } & \hskip - 2 \arraycolsep ( \stackrel { \rightharpoonup } { x _ 1 } , \stackrel { \rightharpoonup } { x _ 2 } ; t ) \\ \varphi _ { \pi \varphi } & \hskip - 2 \arraycolsep ( \stackrel { \rightharpoonup } { x _ 1 } , \stackrel { \rightharpoonup } { x _ 2 } ; t ) \\ \varphi _ { \pi \pi } & \hskip - 2 \arraycolsep ( \stackrel { \rightharpoonup } { x _ 1 } , \stackrel { \rightharpoonup } { x _ 2 } ; t ) \end {array} \right ) \ \ \ .
32648.png	Z [ A _ { + } , A _ { - } ] = \int \! D \bar { \psi } D \psi e ^ { - \int \! d ^ 2 x \, [ \psi _ { - } ^ { \dag } i \partial _ { + } \psi _ { - } + \psi _ { + } ^ { \dag } i \partial _ { - } \psi _ { + } - \psi _ { - } ^ { \dag } A _ { + } \psi _ { - } - \psi _ { + } ^ { \dag } A _ { - } \psi _ { + } ] }
32695.png	{ \cal V } ( \phi , t ) \sim e ^ { d ( \lambda ) H _ { \max } ( \lambda ) t } \P _ p ( \phi ) \ .
32707.png	
32791.png	\newcommand { \m } [ 1 ] { \multicolumn { 2 } { c } { # 1 } } \arraycolsep = 7 p t \begin {array} { * 8 { c } } & & & \m 1 & & & \\ & & \m 0 & \m 0 & & \\ & \m 0 & \m { h ^ { 1 , 1 } } & \m 0 & \\ \m 1 & \m { h ^ { 2 , 1 } } & \m { h ^ { 2 , 1 } } & \m 1 \\ & \m 0 & \m { h ^ { 1 , 1 } } & \m 0 & \\ & & \m 0 & \m 0 & & \\ & & & \m 1 & & & \end {array}
32796.png	S = \int \mathrm { d } ^ { p + 1 } x \left ( \frac { 1 } { 2 } \partial _ \mu \phi \star \partial ^ \mu \phi ^ \dag - V ( \phi \star \phi ^ \dag ) \right ) ,
32798.png	a _ 1 ( f , \tilde F + F ) = - \frac 1 { 8 \pi } \int d ^ 2 x \, { \rm t r } ( f ( \Phi _ \mu + \Phi _ \mu ^ \dag ) ^ 2 ) \, .
32833.png	p _ { \o l m } = ( 2 \pi \omega ) ^ { - 1 / 2 } \exp ( - i \o t ) r ^ { - 1 } f _ { \omega l } ( r ) Y _ { l m } ( \theta , \phi ) ,
32837.png	{ \cal A } ^ \mu \Sigma _ \mu = \pmatrix { - \Sigma _ z & \Sigma _ 0 \cr - l \, ( 1 + m \chi ^ 2 ) \, \Sigma _ 0 + l m \, \psi \chi \, \Sigma _ z & l m \, \psi \chi \, \Sigma _ 0 + m \, ( 1 - l \, \psi ^ 2 ) \, \Sigma _ z } \, .
32848.png	S _ { \rm C S } = \kappa \int d ^ 3 x \/ \epsilon ^ { \mu \nu \rho } { \rm t r } ( A _ { \mu } \partial _ { \nu } A _ { \rho } - \frac { 2 } { 3 } { \it i } A _ { \mu } A _ { \nu } A _ { \rho } ) ,
32857.png	
32881.png	S _ { _ { { \rm S G } } } = \int d ^ { 2 } x \, \left [ \frac { 1 } { 2 } \partial _ { \mu } \phi \partial ^ { \mu } \phi + \frac { \alpha } { \beta ^ { 2 } } ( \cos \beta \phi - 1 ) \right ] \, ,
32898.png	\S _ { k } { q } _ { k p } { \bar { q } } _ { k p } = \S _ { k } { q ' } _ { k p } { \bar { q ' } } _ { k p } = \cdots = i n v ,
32922.png	\mu ( \infty ) = \frac { X _ + } { 2 } + \left ( \frac { 1 - \gamma ^ 2 } { 1 + \gamma ^ 2 } \right ) \frac { X _ - } { 2 } \
32940.png	J _ \mu ^ L = \frac { F _ \pi ^ 2 } { 4 } ~ U \partial _ \mu U ^ \dag = - \frac { F _ \pi ^ 2 } { 4 } ~ ( \partial _ \mu U ) U ^ \dag = i \mbox { \boldmath \tau } \cdot ( \mbox { \boldmath V } _ \mu - \mbox { \boldmath A } _ \mu )
32964.png	\protectZ = \sum _ { \sigma _ i = \pm 1 } \sum _ { c o l o r i n g s } p ^ { b } ( 1 - p ) ^ { N _ b - b } .
32969.png	( a _ { 1 } \theta _ { 1 } + a _ { 2 } \theta _ { 2 } ) ^ { n } = \sum _ { k = 0 } ^ { n } { n \choose k } _ { q } a ^ { k } _ { 1 } a ^ { n - k } _ { 2 } \theta ^ { n - k } _ { 2 } \theta ^ { k } _ { 1 } \ ,
33044.png	\rho ^ { ( 1 ) } ( x _ i ) = \left [ \prod _ { n = 1 } ^ { \infty } ( 1 - w ^ n ) \right ] ^ { - 2 4 } \, \prod _ { 1 \leq r < s \leq N } ( 1 - x _ { r - 1 } x _ r ) ^ { - 1 } .
33052.png	
33091.png	I _ { \Lambda } = { d _ { \Lambda } \over d } C _ { \Lambda } ,
33127.png	\begin {array} { l } [ \psi _ i , ~ \psi _ j ^ { \dag } ] = \delta _ { i j } \nonumber \\ \bigl [ ( X _ 1 ) _ { i j } , ~ ( X _ 2 ) _ { k l } \bigr ] = { i \over B } \delta _ { i l } ~ \delta _ { j k } . \end {array}
33176.png	\hat { q } = i \hbar ( - 1 ) ^ { \varepsilon _ \alpha } \bigg ( \frac { \delta _ l } { \delta \psi ^ \alpha } - ( - 1 ) ^ { \varepsilon _ i \; \varepsilon _ \alpha } \; \cdot \; \; ( \Gamma ^ { ' ' - 1 } ) ^ { i j } \; \, \bigg ( \frac { \delta _ l } { \delta \varphi ^ j } \frac { \delta _ l \Gamma } { \delta \psi ^ \alpha } \bigg ) \frac { \delta _ l } { \delta \varphi ^ i } \bigg ) \cdot \rule { 2.1cm } { 0cm }
33236.png	\frac { \partial } { \partial p _ \nu } ( a _ \nu { \cal F } ) + \frac { 1 } { 2 } \frac { \partial ^ 2 } { \partial p _ \mu \partial p _ \nu } ( b _ { \mu \nu } { \cal F } ) = f ( p , x ) { \cal F }
33241.png	\widetilde { K } _ n ( x ) = - K _ n ( x ) + P ( K _ 1 , K _ 2 , \dots , K _ { n - 1 } ) ,
33269.png	K ^ i = \sum _ m S _ { m } ^ { ~ i } \Gamma _ m \Gamma _ m \; \; .
33295.png	{ 1 \over 2 } ( f \overline f - \l { f } { } \l { \overline f } { } ) = ( \ln ( \overline D f \cdot D \l { \overline f } { } ) ) ' .
33296.png	( A ^ { ( V ) } ) ^ { \hat { b } } _ { \mbox { } \hat { c } } \equiv ( \omega ^ { a } J ^ { ( V ) } _ { a } + E ^ { a } P ^ { ( V ) } _ { a } ) ^ { \hat { b } } _ { \mbox { } \hat { c } } = \left ( \begin {array} { c c c c } 0 & \omega ^ { 2 } & - \omega ^ { 1 } & - E ^ { 0 } \\ \omega ^ { 2 } & 0 & - \omega ^ { 0 } & - E ^ { 1 } \\ - \omega ^ { 1 } & \omega ^ { 0 } & 0 & - E ^ { 2 } \\ - E ^ { 0 } & E ^ { 1 } & E ^ { 2 } & 0 \end {array} \right ) .
33321.png	\tilde E _ 0 \sp { \underline { a } } ( \vec x , t ) \, \rightarrow \, - { \lambda \over 4 \pi } \sum _ { \alpha } \dot \xi _ { \alpha } \sp { \underline { a } } \, \Phi ( \vec x ) \, + \, O ( r \sp { - 1 } ) \, , \quad \mbox { a s } \quad r \rightarrow \infty \
33330.png	\l = { z _ 1 - z _ 2 \over z _ 1 - z _ 3 } \cdot { z _ 3 - z _ 4 \over z _ 2 - z _ 4 } .
33333.png	\Biggl [ - 9 ( 3 7 u ^ 8 - 1 2 6 u ^ 5 v + 8 1 u ^ 2 v ^ 2 - 8 1 2 1 6 u ^ 4 \mu + 1 7 1 0 7 2 u v \mu + 3 6 5 7 8 3 0 4 { \mu } ^ 2 )
33348.png	A _ { \mu \nu } = A ^ * _ { \nu \mu } \, A _ { \mu \nu \lambda \kappa } = A ^ * _ { \kappa \lambda \nu \mu } \, e t c .
33368.png	( - \hbar \sp 2 \Delta \, - \, { e \sp 2 \over \pi k \theta } \, - \, E ) \psi \, + \, 2 e \epsilon _ { i j } ( y _ i \chi ( y ) ) * \hat P _ j \psi \, + \, { 2 e \over \theta } ( y \sp 2 \chi ( y ) ) * \psi \, = \, 0 .
33372.png	\textup { ( o r b i f o l d a f f i n e l e v e l ) = ( o r d e r ) \cdot ( a f f i n e l e v e l ) }
33385.png	B _ 1 = L , \qquad B _ 2 = X , \qquad I = u \sp { T } , \qquad J = u
33399.png	
33402.png	| v \pm \frac { \l ^ { 3 } } { 2 } | ^ { 2 } = | u ^ { 3 / 2 } \mp \frac { \l ^ { 3 } } { 2 } | ^ { 2 } = \frac { 2 R ^ { 6 } - \l ^ { 6 } } { 4 } ,
33444.png	\left ( \begin {array} { c c c c c c c c } 0 & 0 & 0 & - x & 0 & 0 & - w _ 1 & w _ 0 \\ 0 & 0 & 0 & q & 0 & 0 & 2 w _ 2 & - w _ 1 \\ 0 & 0 & 0 & 0 & 0 & 0 & - 6 w _ 3 & 2 w _ 2 \\ 0 & 0 & 0 & 0 & 0 & 0 & h & - u \\ 0 & 0 & 0 & 0 & 0 & 0 & q & - x \\ 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 \\ 0 & 0 & 0 & 0 & 0 & 0 & 0 & y \\ 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 \\ \end {array} \right ) .
33502.png	n _ e A _ i ( x ) \ = \- \varepsilon _ { i j } \ \frac { x _ j } { x ^ 2 } [ 1 - f ( r ) ] \ ,
33522.png	\phi _ { b a r e } = Z ^ { 1 \over 2 } \phi , \, \mu ^ { 2 } _ { b a r e } = Z _ { \mu } \mu ^ { 2 } , \, \lambda _ { b a r e } = Z _ { \lambda } \lambda \, .
33534.png	
33566.png	\phi ( t , x ) \, { \buildrel t = - T / 2 \to - \infty \over { \hbox t o 6 0 p t { \rightarrowfill } } } \, \phi _ 1 ( x ) ,
33621.png	D ^ 2 = { \vcenter { \vbox { \hrule h e i g h t . 4 p t \hbox { \vrule w i d t h . 4 p t h e i g h t 8 p t \kern 8 p t \vrule w i d t h . 4 p t } \hrule h e i g h t . 4 p t } } } - \partial ^ \mu a _ \mu - 2 a ^ \mu \partial _ \mu + a ^ \mu a _ \mu .
33642.png	F \equiv ( \l _ 1 - \l _ 1 ^ 0 ) K \l _ 2 - ( \l _ 2 - \l _ 2 ^ 0 ) K \l _ 1 .
33650.png	\rho = \sum _ { a ' } \left [ \frac { i \omega _ { a ' } } { \sqrt { \Im _ { a ' } } } \lambda _ { a ' } \pi _ { a ' } + \left ( \omega ^ 2 _ { a ' } G _ { a ' } + \frac { i } { 2 } b _ { a ' } \right ) \bar { \eta } _ { a ' } \right ] ,
33656.png	p ^ j = \frac { \l _ 2 ^ 2 x _ 1 ^ j - \l _ 1 ^ 2 x _ 2 ^ j } { \l _ 1 ^ 2 + \l _ 2 ^ 2 }
33661.png	
33666.png	f ( \partial ) e ^ \chi = e ^ \chi f ( \partial + \chi ' ) \cdot 1 ,
33694.png	\begin {array} { l l l } \psi & = & \exp { \phi } \\ \varphi & = & { \displaystyle \frac { d \phi } { d z } } \\ \end {array} \hspace { 3 t r u e c m } \begin {array} { r r c } \phi & = & \phi ( z , \overline { z } ) \\ \overline { \varphi } & = & { \displaystyle \frac { d { \phi } } { d \overline { z } } } \\ \end {array}
33738.png	t ( x ) \sim \left \{ \begin {array} { c c c } \overline { t } & \mathrm { n e a r } & x = \pi R \\ - \overline { t } & \mathrm { n e a r } & x = - \pi R \end {array} \right .
33742.png	\mbox { I ) } \; H = U ( 2 ) \; \; \; \mbox { o r } \; \; \; \mbox { I \hspace { - . 4 m m } I ) } \; H = T = U ( 1 ) \times U ( 1 ) \; .
33765.png	\left [ \hat { b } _ n , \hat { b } ^ { \dag } _ m \right ] = \delta _ { n m } \, \, \, ; \left [ \hat { b } _ n , \hat { b } _ m \right ] = 0 .
33776.png	[ J ^ { a } _ { n } , J ^ { b } _ { m } ] = i f ^ { a b c } \, J ^ { c } _ { n + m } + { _ { k n } \over ^ 2 } \, \delta ^ { a b } \, \delta _ { n + m , 0 }
33780.png	{ \cal L } _ { \rm e f f } = \sum _ { i , j } { 1 \over 2 } K _ { \phi _ i , { \bar \phi } _ j } \nabla \phi _ i \cdot \nabla { \bar \phi } _ j - { \rm e } ^ K \left [ \ \sum _ { i , j } K ^ { \phi _ i \ { \bar \phi } _ j } ( D _ { \phi _ i } W ) ( D _ { { \bar \phi } _ j } W ) ^ { \dag } - 3 | W | ^ 2 \ \right ]
33819.png	S _ { e f f } \sim \int d ^ n x \sqrt { g } R ~ \raisebox { . 7 e x } { \fbox { } } ^ { ( n - 4 ) / 2 } R
33841.png	R ^ { ( 0 ) } _ { M L N L ' } = \frac { 2 \Lambda } { ( D - 1 ) ( D - 2 ) } ( g ^ { ( 0 ) } _ { M N } g ^ { ( 0 ) } _ { L L ' } - g ^ { ( 0 ) } _ { M L ' } g ^ { ( 0 ) } _ { L N } ) ,
33866.png	S = \int f _ { \rm k i n } ( x _ i , y _ j ) \, d ^ 4 \theta d ^ 2 z + t \int f _ { \rm F I } ( y _ j ) \, d \theta ^ + d \bar \theta ^ - d ^ 2 z + \int W ( x _ i ) \, d ^ 2 \theta ^ + d ^ 2 z + \hbox { h . c . } ,
33903.png	L = \frac { 1 } { 2 } \phi ^ * ( P ^ \mu - e A ^ \mu ) \phi ( P _ \mu - e A _ \mu ) - \frac { 1 } { 2 } m _ 0 ^ 2 | \phi | ^ 2
33918.png	
33930.png	P _ { \psi ^ - } ( \phi ^ + ( t ) ) = | ( \psi ^ - , \phi ^ + ( t ) ) | ^ 2 = | ( \psi ^ - ( t ) , \phi ^ + ) | ^ 2
33957.png	\hspace * { - 0 . 8 t r u e c m } L = \int _ { M _ 2 } \left [ X _ a D e ^ a + X d \omega + \epsilon \left ( X ^ + X ^ - U ( X ) + V ( X ) \right ) \right ] \, ,
33959.png	- { 1 \over 4 \mu _ 0 l _ \gamma } \int d s \sqrt { \overline y ^ { \prime \, 2 } ( s ) } { \delta ^ 2 \Psi [ \, \sigma ^ { \mu \nu } \ ; A ] \over \delta \sigma ^ { \mu \nu } ( s ) \sigma _ { \mu \nu } ( s ) } = i { \partial \over \partial A } \Psi [ \, \sigma ^ { \mu \nu } \ ; A ]
33962.png	R _ { ( + ) \mu \nu \lambda \rho } = F _ { \mu \nu a b } e _ { \lambda } { } ^ { a } e _ { \rho } { } ^ { b } \ ,
33969.png	
33971.png	\displaystyle { S ^ e _ { G C S } = \int _ M \mbox { T r } _ { \bf k } \left ( \frac { 1 } { 2 } { \cal A } Q { \cal A } + \frac { 1 } { 3 } { \cal A } ^ 3 \right ) }
33978.png	\Gamma _ { \lambda \nu } ^ { \hspace { . 3 t r u e c m } \alpha } = \{ ^ { \alpha } _ { \lambda \nu } \} + S ^ { \alpha } g _ { \lambda \nu } - S _ { \lambda } \delta ^ { \alpha } _ { \nu } ,
34001.png	Z _ { 0 \L _ 0 } \left [ J , \bar { J } \right ] = \int { \cal D } \Phi { \cal D } \bar { \Phi } ~ \exp \ \left \{ - S \left [ \Phi , \bar { \Phi } \right ] + \int d ^ 6 z J \Phi + \int d ^ 6 \bar { z } \bar { J } \bar { \Phi } \right \}
34098.png	- 2 \frac { \partial U _ { g \xi } } { \partial \xi } \ = \ f ( r ( \xi ) ) \ , \ \ \ \ \ \ \ \- 2 \frac { \partial T _ { g \xi } } { \partial \xi } \ = \ 2 x ^ { T 2 } ( \xi ) \dot f ( r ( \xi ) ) \ .
34116.png	L _ - ^ { ( n ) } = - \frac 1 2 \left ( L _ - ^ { ( n - 1 ) } l ^ \dag + l L _ - ^ { ( n - 1 ) } \right ) \, ,
34120.png	H _ { i n t } = s c ( \omega _ { 1 } - \omega _ { 2 } ) ( A _ { 1 } ^ { \dag } A _ { 2 } + A _ { 2 } ^ { \dag } A _ { 1 } ) ,
34178.png	{ \bf A } \equiv \left \{ \begin {array} { l r } \frac { { \bf A } _ { 0 } } { \sqrt { - 2 H } } & \mbox { i f E < 0 } \\ { \bf A } _ { 0 } & \mbox { i f E = 0 } \\ \frac { { \bf A } _ { 0 } } { \sqrt { 2 H } } & \mbox { i f E > 0 } \end {array} \right . ,
34231.png	< \chi \| \hat { d } \, f , \hat { \bf A } \| \chi ^ { 0 } > = \S _ { \lambda , \mu = 1 } ^ { 2 } \S _ { r ^ { \lambda \mu } = 1 } ^ { N _ { \lambda \mu } } \hat { c } ^ { * } ( r ^ { \lambda \mu } ) < d \, f , { \bf A } > _ { r ^ { \lambda \mu } } = \S _ { \lambda , \mu = 1 } ^ { 2 } \S _ { r ^ { \lambda \mu } = 1 } ^ { N _ { \lambda \mu } } \hat { c } ^ { * } ( r ^ { \lambda \mu } ) ( { \bf A } \, f ) _ { r ^ { \lambda \mu } } .
34311.png	
34317.png	\psi = ( \nabla ^ 2 ) ^ { - 1 / 2 } \; \phi _ { 1 , 2 } = { 1 \over \Gamma ( - 1 / 2 ) } \int _ 0 ^ \infty { \d t \over t ^ { 3 / 2 } } \exp [ - t \nabla ^ 2 ] \; \phi _ { 1 , 2 } .
34338.png	\psi ^ { \dag } \psi = N B \theta .
34376.png	\Delta = \{ e _ { j } - e _ { k } , \quad \pm ( e _ j + e _ k ) : \quad j , k = 1 , \ldots , N \} .
34436.png	w _ 1 ^ 1 ( \rho , z ) = w _ 2 ^ 1 ( \rho , z ) = w _ 1 ^ 2 ( \rho , z ) = w _ 2 ^ 2 ( \rho , z ) = w _ 3 ^ 3 ( \rho , z ) = 0 \ .
34449.png	K _ { j } = \int d \vec { x } \psi ^ { \dag } ( \vec { x } , t ) ( i t \partial _ { j } + i x _ { j } \partial _ { 0 } + { \cal K } _ { j } ) \psi ( \vec { x } , t ) ,
34491.png	f _ { A B C } = f _ { m n , p q , r s } = ( A \times B ) \delta ^ { A + B } _ C
34495.png	( \ref { m e t r i c } ) \Rightarrow \eta ^ { { \bar { g _ 1 } } g _ 2 } = \eta ^ { A d _ h ( { \bar { g _ 1 } } ) A d _ h ( g _ 2 ) } ;
34503.png	\phi _ 1 = \left ( \begin {array} { c c } s - i b _ { 1 2 } & b _ { 1 3 } - i b _ { 2 3 } \\ - b _ { 1 3 } - i b _ { 2 3 } & s + i b _ { 1 2 } \end {array} \right ) , \quad \phi _ 2 = \left ( \begin {array} { c c } - b _ { 0 3 } + i p & - b _ { 0 1 } + i b _ { 0 2 } \\ - b _ { 0 1 } - i b _ { 0 2 } & b _ { 0 3 } + i p \end {array} \right ) .
34510.png	x ( s ) = g ( s ) \sigma ( q ( s ) ) , \quad 0 \le s \le t ,
34511.png	
34521.png	r ^ { D - 4 } F _ { a } = \epsilon _ a ^ { \ b } \partial _ b \Phi _ { ( V ) } ,
34591.png	{ \cal L } = \bar { \psi } _ i ( i { \not \! \partial } - e { \not \! \! A } - m ) \psi _ i - \chi ^ * _ \mu \bar { \psi } ^ c _ i \gamma ^ \mu \tau \psi _ i - \chi _ \mu \bar { \psi } _ i \gamma ^ \mu \tau ^ T \psi ^ c _ i + \frac { N } { g } \chi ^ * _ \mu \chi ^ \mu ~ .
34621.png	L _ { h y b } \, = \, \tilde L \sp { C S } _ { e x t } \, + \, \frac { e \hat B \sp { e x t } } { 2 } ( \epsilon _ { i j } X _ i \dot X _ j \, - \, 2 e \theta \hat A _ 0 \sp { C S } ) \, + \, e \hat E _ i \sp { e x t } \cdot \eta _ i .
34633.png	- \delta _ \sigma W = \frac 1 2 \int ^ \infty _ 0 \frac { d s } s \delta _ \sigma { \rm T r } K ' ( s ) .
34665.png	
34667.png	{ \l } ^ { A } \hat { \bar { \mu } } ^ { \dot { B } } P _ { A \dot { B } } + \l ^ A \hat { \mu } ^ B Z _ { A B } = 0 , \qquad \hat { \mu } ^ { A } { \bar { \l } } ^ { \dot { B } } P _ { A \dot { B } } + \bar { \l } ^ { \dot { A } } \hat { \bar { \mu } } ^ { \dot { B } } \bar { Z } _ { \dot { A } \dot { B } } = 0 ,
34669.png	f ( \xi ) = \int _ { \alpha \geq 0 } \! d ^ 2 \alpha \, \delta ( 1 - \alpha _ 1 - \alpha _ 2 ) \exp ( - \alpha _ 1 \alpha _ 2 \xi ) = \int ^ 1 _ 0 \! d \alpha \, { \rm e } ^ { - \alpha ( 1 - \alpha ) \xi }
34686.png	\S _ \Gamma = \sum _ { n \ge 0 } \S _ \Gamma ^ { ( n ) }
34694.png	\begin {array} { l r } Y V ( Y ) = & d _ 1 ^ 2 e ^ { - \alpha _ 1 Y } ( ( \alpha _ 1 Y + 1 ) ^ 2 - 3 ) + d _ 2 ^ 2 e ^ { - \alpha _ 2 Y } ( ( \alpha _ 2 Y + 1 ) ^ 2 - 3 ) \vspace { 2 m m } \\ & - 2 d _ 1 d _ 2 e ^ { - ( \alpha _ 1 + \alpha _ 2 ) Y / 2 } ( \alpha _ 1 \alpha _ 2 Y ^ 2 + ( \alpha _ 1 + \alpha _ 2 ) Y - 2 ) \ . \end {array}
34758.png	\triangle A _ u = 0 \ , \hspace { 1 . 5 t r u e c m } \triangle \partial ^ { [ i } A ^ { j ] } = 0 \ ,
34775.png	\mathcal { A } ^ 2 + \mathcal { B } ^ 2 + \mathcal { C } ^ 2 = 3 \mathcal { X } ^ 2 - 8 A \sqrt { 3 } \mathcal { X }
34796.png	\left \{ \begin {array} { r c l } \bar \Psi \equiv \displaystyle \frac { \delta Z } { \delta \eta } \rule [ -5mm ] { 0mm } { 5mm } , \\ \Psi \equiv \displaystyle \frac { \delta Z } { \delta \bar \eta } \rule { 0mm } { 5mm } , \end {array} \right . \hspace { 1 c m } \Rightarrow \hspace { 1 c m } \left \{ \begin {array} { r c l } \bar \eta = \displaystyle \frac { \delta \Gamma } { \delta \Psi } \rule [ -5mm ] { 0mm } { 5mm } , \\ \eta = \displaystyle \frac { \delta \Gamma } { \delta \bar \Psi } \rule { 0mm } { 5mm } . \end {array} \right .
34799.png	F ^ { ( 1 ) } _ { 0 \cdots p 1 \cdots r i } = H _ { p + s } ^ { \alpha } \partial _ i H _ { p + r } ^ { - 1 } \, , \hspace { 1 . 5 t r u e c m } F ^ { ( 2 ) } _ { 0 \cdots p 1 \cdots s r } = \partial _ r H _ { p + s } ^ { - 1 } \, .
34813.png	a _ f = c _ 2 ( B ) + \left ( 1 1 + \frac { n ^ 3 - n } { 2 4 } \right ) c _ 1 ( B ) ^ 2 - \frac { 3 n } { 2 \l } \left ( \l ^ 2 - \frac { 1 } { 4 } \right ) = 2
34826.png	\hspace * { - 6 c m } \Lambda ( t ) = \sqrt { 2 } \ e ^ { - \alpha ( t ) x } \Lambda _ 0
34874.png	X _ m = \sum _ i \gamma ^ \mu \gamma ^ \nu a _ m ^ i \partial _ \mu \partial _ \nu b _ m ^ i + a _ m ^ i [ M M ^ { \dag } , b _ m ^ i ] , \, \, \, \, \, \, m = 1 , 2 ,
34903.png	\bar { P } ^ { ( \l ) } _ { \dot { A } } - \mu _ { \dot { A } } = 0 , \qquad \bar { P } ^ { ( \mu ) } _ { \dot { A } } = 0 ,
34940.png	
34951.png	\mbox { \hspace * { - 1 c m } \{ s e t o f p r e p a r e d i n - s t a t e s \phi \} = \{ s e t o f d e t e c t e d o u t - o b s e r v a b l e s \psi \} = \mathcal { H } }
34971.png	S [ \psi ^ * , \psi ] = \int [ D x ^ \mu ( s ) ] \, \psi ^ * [ x ( s ) ] \left [ - \hbar ^ 2 \left ( \int _ 0 ^ 1 d s \sqrt { x ^ { \, \prime \, 2 } } \right ) ^ { - 1 } \int _ 0 ^ 1 { d s \over \sqrt { x ^ { \, \prime \, 2 } } } { \delta ^ 2 \over \delta x ^ \mu ( s ) \ \delta x _ \mu ( s ) } + m ^ 4 \right ] \psi [ x ( s ) ] \nonumber \,
34984.png	N ^ { 2 - m _ j - 2 b _ j } f _ { b _ j } ( W _ 1 , \ldots , W _ { m _ j } , g ^ 2 )
35077.png	\Omega _ { p + 1 } \, \equiv \int _ { \Sigma _ { p + 1 } } d ^ { p + 1 } \sigma \, \sqrt { \overline g } = \int _ 0 ^ T d \tau \, e ( \tau ) \, \int _ { \Sigma _ { p } } d ^ p \sigma \, \sqrt h \equiv V _ p \, \int _ 0 ^ T d \tau \, e ( \tau ) \ .
35110.png	\Omega = \sqrt { 1 - \frac { 4 ( \omega + 1 ) ( \omega + 2 ) } { ( 2 \omega + 3 ) ^ 2 } \frac { a ^ 2 J ^ 2 } { M ^ 2 } } .
35138.png	\omega _ m \, \omega _ n = \omega _ { m + n } .
35140.png	d s \sp 2 = g _ { 0 0 } \, d t \sp 2 + g _ { i j } d x \sp { i } d x \sp { j } = - V \sp 2 d t \sp 2 + \frac { h _ { i j } } { V \sp 2 } d x \sp { i } d x \sp { j } .
35154.png	{ \cal L } _ { _ { { \rm F } } } = \sum _ { k = 1 } ^ { N _ { f } } i { \overline \psi } ^ { k } \gamma ^ { \mu } D _ { \mu } \psi ^ { k } - i f { \overline \psi } ^ { k } \Phi \psi ^ { k } \, .
35270.png	
35281.png	\textup { p f a f f } ( D ) e x p ( i \oint _ { \Sigma } B ) e x p ( i \oint _ { \partial \Sigma } A ) .
35306.png	\hat { K } ^ T F _ T \mapsto \frac { ( - i \gamma T ^ * + \delta ) ^ 2 } { | i \gamma T + \delta | ^ 2 } \hat { K } ^ T F _ T
